RIFT DECK V51 INDEX
===================

[MONSTERS]
e001  불꽃갈기 늑대  | 화염 | beast | /assets/enemies/e001.png
e002  숲의 수호골렘  | 자연 | golem | /assets/enemies/e002.png
e003  전류족제비  | 번개 | beast | /assets/enemies/e003.png
e004  수정요정 셀리아  | 수정 | spirit | /assets/enemies/e004.png
e005  심연의 박쥐  | 공허 | wing | /assets/enemies/e005.png
e006  달빛 사슴  | 별 | beast | /assets/enemies/e006.png
e007  용암거북  | 화염 | leviathan | /assets/enemies/e007.png
e008  파도해파리  | 물 | spirit | /assets/enemies/e008.png
e009  바위코뿔소  | 강철 | beast | /assets/enemies/e009.png
e010  바람매  | 바람 | wing | /assets/enemies/e010.png
e011  성기사 카루스  | 강철 | knight | /assets/enemies/e011.png
e012  설원의 부엉이  | 수정 | wing | /assets/enemies/e012.png
e013  독버섯 괴물  | 그림자 | mushroom | /assets/enemies/e013.png
e014  혜성도마뱀  | 별 | serpent | /assets/enemies/e014.png
e015  꽃덩굴 나가  | 자연 | serpent | /assets/enemies/e015.png
e016  모래전갈  | 자연 | insect | /assets/enemies/e016.png
e017  그림자 고양이  | 그림자 | wraith | /assets/enemies/e017.png
e018  유령랜턴  | 공허 | wraith | /assets/enemies/e018.png
e019  홍염날개 매  | 화염 | wing | /assets/enemies/e019.png
e020  폭풍뿔새  | 번개 | wing | /assets/enemies/e020.png
e021  안개여우  | 바람 | beast | /assets/enemies/e021.png
e022  갯바위 크랩  | 물 | crab | /assets/enemies/e022.png
e023  가시멧돼지  | 자연 | beast | /assets/enemies/e023.png
e024  서리거인  | 수정 | golem | /assets/enemies/e024.png
e025  황혼의 까마귀  | 그림자 | wing | /assets/enemies/e025.png
e026  시계골렘  | 시간 | drone | /assets/enemies/e026.png
e027  별빛고래  | 별 | leviathan | /assets/enemies/e027.png
e028  가시덩굴 수령  | 자연 | golem | /assets/enemies/e028.png
e029  화산도마뱀  | 화염 | serpent | /assets/enemies/e029.png
e030  뇌운의 기린  | 번개 | beast | /assets/enemies/e030.png
e031  얼음꽃 사슴  | 수정 | beast | /assets/enemies/e031.png
e032  모래폭풍 뱀  | 자연 | serpent | /assets/enemies/e032.png
e033  어둠의 기사  | 그림자 | knight | /assets/enemies/e033.png
e034  용의 새끼  | 별 | leviathan | /assets/enemies/e034.png
e035  고대의 나무령  | 자연 | golem | /assets/enemies/e035.png
e036  붉은달 늑대  | 화염 | beast | /assets/enemies/e036.png
e037  심해 앵무어  | 물 | wing | /assets/enemies/e037.png
e038  유리거미  | 수정 | insect | /assets/enemies/e038.png
e039  폭설토끼  | 수정 | beast | /assets/enemies/e039.png
e040  전광라쿤  | 번개 | beast | /assets/enemies/e040.png
e041  달그림자 여우  | 그림자 | wraith | /assets/enemies/e041.png
e042  잿불골렘  | 화염 | golem | /assets/enemies/e042.png
e043  샘의 정령  | 물 | spirit | /assets/enemies/e043.png
e044  해골갑옷 사자  | 공허 | beast | /assets/enemies/e044.png
e045  별의 유니콘  | 별 | spirit | /assets/enemies/e045.png
e046  심연문어  | 공허 | spirit | /assets/enemies/e046.png
e047  시간의 용  | 시간 | leviathan | /assets/enemies/e047.png
e048  폭풍의 곰  | 번개 | beast | /assets/enemies/e048.png
e049  강철매  | 강철 | wing | /assets/enemies/e049.png
e050  종말의 그림자  | 공허 | wraith | /assets/enemies/e050.png
e051  화염늑대 아그니  | 화염 | beast | /assets/enemies/e051.png
e052  용암거인 마그론  | 화염 | golem | /assets/enemies/e052.png
e053  홍련조 페니아  | 화염 | phoenix | /assets/enemies/e053.png
e054  불꽃요정 이그나  | 화염 | spirit | /assets/enemies/e054.png
e055  잿불황소 브라곤  | 화염 | beast | /assets/enemies/e055.png
e056  파도거북 네리오  | 물 | beast | /assets/enemies/e056.png
e057  심해해파리 마레  | 물 | spirit | /assets/enemies/e057.png
e058  물결여우 리플  | 물 | beast | /assets/enemies/e058.png
e059  산호정령 코랄  | 물 | spirit | /assets/enemies/e059.png
e060  폭포룡 아쿠론  | 물 | leviathan | /assets/enemies/e060.png
e061  숲의수호자 베르  | 자연 | watcher | /assets/enemies/e061.png
e062  넝쿨사슴 비르디  | 자연 | beast | /assets/enemies/e062.png
e063  꽃요정 로제  | 자연 | spirit | /assets/enemies/e063.png
e064  가시멧돼지 브램  | 자연 | beast | /assets/enemies/e064.png
e065  고대나무령 오르트  | 자연 | golem | /assets/enemies/e065.png
e066  번개족제비 볼트  | 번개 | beast | /assets/enemies/e066.png
e067  천둥수리 라이트  | 번개 | wing | /assets/enemies/e067.png
e068  전격골렘 테슬라  | 번개 | golem | /assets/enemies/e068.png
e069  전기해파리 스파크  | 번개 | spirit | /assets/enemies/e069.png
e070  뇌광사슴 제노  | 번개 | beast | /assets/enemies/e070.png
e071  빙결여우 글라시아  | 수정 | beast | /assets/enemies/e071.png
e072  설원곰 프로스트  | 수정 | beast | /assets/enemies/e072.png
e073  얼음부엉이 노아  | 수정 | wing | /assets/enemies/e073.png
e074  서리정령 리메  | 수정 | spirit | /assets/enemies/e074.png
e075  빙하드래곤 크리셀  | 수정 | leviathan | /assets/enemies/e075.png
e076  권왕원숭이 라곤  | 강철 | tyrant | /assets/enemies/e076.png
e077  철권거북 타우르  | 강철 | beast | /assets/enemies/e077.png
e078  무도가호랑이 켄라  | 강철 | beast | /assets/enemies/e078.png
e079  격투도사 모우  | 강철 | knight | /assets/enemies/e079.png
e080  파괴거인 브루트  | 강철 | golem | /assets/enemies/e080.png
e081  독버섯괴물 머쉬  | 그림자 | mushroom | /assets/enemies/e081.png
e082  맹독전갈 베노스  | 그림자 | insect | /assets/enemies/e082.png
e083  독안개박쥐 미스트  | 그림자 | wing | /assets/enemies/e083.png
e084  보라슬라임 젤리온  | 그림자 | slime | /assets/enemies/e084.png
e085  침묵의뱀 사일라  | 그림자 | serpent | /assets/enemies/e085.png
e086  암석골렘 록스  | 강철 | golem | /assets/enemies/e086.png
e087  황야늑대 더스트  | 자연 | beast | /assets/enemies/e087.png
e088  모래지렁이 샌더  | 자연 | serpent | /assets/enemies/e088.png
e089  대지거북 테라핀  | 자연 | beast | /assets/enemies/e089.png
e090  지각거인 크래그  | 강철 | golem | /assets/enemies/e090.png
e091  바람매 제피  | 바람 | wing | /assets/enemies/e091.png
e092  구름고양이 클라우  | 바람 | beast | /assets/enemies/e092.png
e093  태풍조 게일  | 바람 | crab | /assets/enemies/e093.png
e094  하늘고래 스카이론  | 바람 | leviathan | /assets/enemies/e094.png
e095  천공룡 에어리온  | 바람 | leviathan | /assets/enemies/e095.png
e096  강철기사 페론  | 강철 | knight | /assets/enemies/e096.png
e097  기계거미 메카릭  | 강철 | drone | /assets/enemies/e097.png
e098  톱니골렘 코그  | 강철 | drone | /assets/enemies/e098.png
e099  철갑코뿔소 아이론  | 강철 | beast | /assets/enemies/e099.png
e100  합금드래곤 알로이  | 강철 | leviathan | /assets/enemies/e100.png
e101  그림자박쥐 녹스  | 그림자 | wraith | /assets/enemies/e101.png
e102  유령기사 팬텀  | 그림자 | knight | /assets/enemies/e102.png
e103  혼령여우 소울라  | 그림자 | wraith | /assets/enemies/e103.png
e104  저주나무 헥스우드  | 그림자 | golem | /assets/enemies/e104.png
e105  망령왕 레버넌트  | 공허 | tyrant | /assets/enemies/e105.png
e106  염동고양이 프시캣  | 시간 | beast | /assets/enemies/e106.png
e107  꿈먹는자 소무니아  | 시간 | beast | /assets/enemies/e107.png
e108  환상나비 미라벨  | 시간 | beast | /assets/enemies/e108.png
e109  정신구체 오브라  | 시간 | spirit | /assets/enemies/e109.png
e110  예지룡 오라클론  | 시간 | leviathan | /assets/enemies/e110.png
e111  청룡 세이란  | 물 | leviathan | /assets/enemies/e111.png
e112  흑룡 모르드  | 공허 | leviathan | /assets/enemies/e112.png
e113  황금룡 아우룸  | 빛 | leviathan | /assets/enemies/e113.png
e114  크리스탈룡 제미아  | 수정 | leviathan | /assets/enemies/e114.png
e115  종말룡 엔드라  | 공허 | leviathan | /assets/enemies/e115.png
e116  성스러운사슴 루멘  | 빛 | beast | /assets/enemies/e116.png
e117  천사전사 세라  | 빛 | knight | /assets/enemies/e117.png
e118  빛의정령 루미아  | 빛 | spirit | /assets/enemies/e118.png
e119  태양의새 솔버드  | 빛 | phoenix | /assets/enemies/e119.png
e120  신성골렘 할로우  | 빛 | golem | /assets/enemies/e120.png
e121  암흑늑대 움브라  | 공허 | beast | /assets/enemies/e121.png
e122  어둠의마도사 베스퍼  | 그림자 | knight | /assets/enemies/e122.png
e123  심연괴수 아비스  | 공허 | beast | /assets/enemies/e123.png
e124  그림자용 녹테르  | 그림자 | wraith | /assets/enemies/e124.png
e125  무의왕 니힐  | 공허 | tyrant | /assets/enemies/e125.png
e126  요정토끼 피오라  | 빛 | spirit | /assets/enemies/e126.png
e127  꽃나비 블룸  | 자연 | beast | /assets/enemies/e127.png
e128  달빛요정 셀레나  | 별 | spirit | /assets/enemies/e128.png
e129  요정사슴 파에나  | 빛 | spirit | /assets/enemies/e129.png
e130  생명의나무 비타  | 자연 | golem | /assets/enemies/e130.png
e131  시간의수호자 크로노  | 시간 | watcher | /assets/enemies/e131.png
e132  차원문지기 포탈론  | 공허 | watcher | /assets/enemies/e132.png
e133  별조각 아스테르  | 별 | spirit | /assets/enemies/e133.png
e134  기억의새 메모리아  | 시간 | beast | /assets/enemies/e134.png
e135  균열체 리프트  | 공허 | spirit | /assets/enemies/e135.png
e136  세계수 엘드라  | 자연 | golem | /assets/enemies/e136.png
e137  천공의주인 아엘  | 바람 | tyrant | /assets/enemies/e137.png
e138  심연의눈 보이드아이  | 공허 | wraith | /assets/enemies/e138.png
e139  시간의용 템포라  | 시간 | leviathan | /assets/enemies/e139.png
e140  무한의존재 인피니아  | 공허 | tyrant | /assets/enemies/e140.png
e141  화염엄니 카인  | 화염 | beast | /assets/enemies/e141.png
